,0
691,personal hate audience insulting movie got stupidest horror flick times ending alone would enough justify film place bottom list mean premise shark brody family revenge chases beats brody jamaica harrass snack extras effects went way downhill one shark universial studios tram tour convincing duct taped seams roboshark acting atrocious especially mario van peeble grating hey mon accent
692,usually circumstance subject world knowledge film known folks film rent otherwise think idea apple martini something someone said hey make real funny movie wrong first could tell yet another wayan inside joke advice wayans stop joking serious honest come whatever want say maybe ironic days time right exactly minds ask possessed richard benjamin christine baranski lisa kudrow rent taxes new stuffed animal saw wal mart let trash film minute look intent could seemed want expose music industry stereotypes okay done trashing truth enough stereotypes feature films last decades get wrong way something nature entertaining thought provoking maybe even satirical bottom line film script actors worth time anyone
693,steel one films constantly keep telling movie cheap outrageously bad superhero vehicle acting talents basketball player shaquille neal commendably film actually three clear acts steel emergence though underplayed happen forty minutes jokes plenty mentions batman superman jerry maguire show money three instances john irons neal net basketballs final time sees life threatening toss grenade lousy basketball player throughout shaq gets quip never make would prefer richard roundtree uncle joe designs steel hammer metalwork explains especially like shaft cue lots double takes knowing glances roundtree looking round hands air proclaiming special effects reasonable movie land pinch must imagining real cinema movie quite cheap steel badly written contains atrocious dialogue poorly acted shabbily directed overbearing repetitive musical score course tremendously entertaining
694,barney dinosaur television tolerable least educational value film however smokes proverbial pole like children films ever almost producers wanted see entire movie made first takes would look like children insipid adult actors probably hired casting calls community theaters special needs living facilities dino characters annoying squeakiest pokemon could imagine perfect example opportunity make good film already successful television character squandered lazy production lack funding would likely get use dollars eating spending dvd
695,always looking cute movie year old son characters doogal movie trailer looked adorable mention cast chevy chase jon stewart whoopi goldberg could one wrong boy disappointed terrible remember last time saw movie bad characters lack personality whatsoever plot relied solely corny one liners referencing countless movies television shows every scene children understand parents find funny theater empty decided stay end hardly laughed favor pass movie even buy dvd
696,mtv epitome narcissistic superficial artificial slack jawed mentality changed direction youth american culture worse film quite possibly nadir said stupidity group young blank twenty somethings slither war spring break cancun sharing beach house real world rocket scientists share house even share braincell among mystery ages one sober geek never drank much reality movie based getting wasted accompanied mostly flavor week crappy music like mtv horrible grade
697,let start saying redeeming qualities movie multi million dollar budget amounted teen drama mixed power rangers final product insulting say least creators horrible horrible adaption take good long think done followed source material instead taken granted really think entire dragonball fan base stupid akira toriyama probably noose around neck right finish acting atrocious butt rock scattered soundtrack make want punch guy running theater face story basically manga cut put blender stuffed sausage skins stitched back together american flag tied around want dragonball fix buy dvds show instead skip movie skip least pay thing heard sequel already works need trilogy would three movies many
698,date movie movie spoofs romantic comedies movie follows julia jones alyson hannigan goes events take place order marry prince grant adam campbell process involves meeting parents breaking meeting girlfriend planning wedding everything else romantic comedy genre thrown way laughs supposed ensue thought hollywood reached time low comes date movie movie proves anything made film hollywood matter bad something people dish hard earned money see date movie far worst pile crap seen several years possibly history film one worst movies ever made movie contained zero laughs none spoofs even remotely funny insult anyone dished kind money see film saddest part knew seeing movie going bad think could ever bad actually jokes fell flat half way groundbreaking minute running time wanted find way end life sit another second horrid movie really positive thing say movie first question comes mind though hell came idea spoof comedies comedies already funny spoof question wondered first heard movie seeing date movie know done even attempted date movie runs minutes try spoof everything including bridget jones diary kill bill say anything best friend wedding napoleon dynamite lose guy days big fat greek wedding hitch bachelor meet parents sleepless seattle rize king kong wedding planner many would think one joke would work honesty single one sit staring screen losing brain cells wondering earth someone got money produce pile garbage guess know movie really bad screened critics trailer tries sell movie saying writers scary movie always small part says bad looks case worse looks train wreck anyone finds movie funny sorry must something seriously wrong incredibly immature movie took people write two people direct ever meet jason friedberg aaron seltzer writers directors behind crap demand give back paying see movie guys right ever make movie put movie like date movie law hollywood movie hated critics audiences alike placed cell beaten write everyone watched film huge letter apology really wonder crap come hollywood next worse film sum date movie sucks plain simple even see little expectations disappointed despise everyone involved movie entire cast somehow read script said going good interns walk set first day shooting suffer movies bad hollywood wonders ticket sales going pay see movie like date movie totally understand people going would leery hollywood puts worst film come hollywood years even worse gigli batman robin got served moviemanmenzel final rating date movie ten movie even deserve nothing worked people tortured like see movie
699,movie good smart make funny joke show people know pop culture tabloids make fun show fat person laugh laugh little midgets farting pbbblllp fart noise funny poop pants funny movie meet spartans make fun movie take scenes movies know make funny add farts people kicked hole make funny gay jokes gay people forget laugh kevin federline big loser think rap like think write joke write movie remember epic movie write write crayons poop scoop toilet fart pooh make funny jokes paris hilton stupid loose sexually write sequel soon deserve bazillions dollars buying things stupid family deserve fbloduad boodle haha
700,baby geniuses movie best described live action cartoon certainly cinematic perfection people said idiotic opinion stupid silly enjoy sort movie hate several big name actors appearing kathleen turner christopher lloyd dom deluise kim sex city catrall memorable performances though main characters babies cartoonish jinx even jinx always work baby geniuses clearly everyone appreciate
701,spouse went see opening night expecting see extremely bad costly film really disappointed testament john travolta genius career survived disaster say garbage garbage start ron hubbard novel first mistake featuring completely plagiarized dark skinned war like hairy alien culture wrinkly foreheads sounds like klingons thought add unfortunate barry get break maybe cant pick script pepper need travolta playing arrogant merciless slightly effeminate quite sized leader alien colonists remove hint character development script use worst worst black box technobabble explanations plot devices finally stay true idiotic gibberish based film first place got makings rolling floor comedy fact opening night packed theater people started laughing loud minutes film never really stopped great time night halfway film half crowd actually interacting film asking worf commander riker asking troublesome questions many hundreds years gas would remain viable gas tank harrier need know plot simple earth conquered amazingly stupid group klingon like aliens remaining humans live large domed slave labor camp taught sole purpose servitude stupid weak etc barry pepper somehow becomes convinced born slave learns fly harrier etc really worth effort typing subtle original good messages ethnocentrism found much else day need good laugh rent borrow local bad film collector
702,awful hopeless terrible benifer gate words read north america respected film critics research viewing debacle gigli starring ben affleck jennifer lopez first wondered aloud bad often common public agree harsh words critic besides pacino walken film enough generate even one star even sternest critic right right gigli two unbelievable gangsters assigned task kidnapping watching prosecutors mentally challenged brother also keeping open eye ensure success operation ben plays gigli accent challenged goon believable madonna nuns uniform jennifer plays ricky lesbian gangster primarily hired ensure gigli screw things along way plenty bit characters ridiculous side plots stymie progress mission ricky lover show house attempt suicide gangsters ask thumb prisoner sent prosecutor gigli rush mothers house learns good ole knows lesbians throughout film constantly annoyed conversations gigli crime boss lenny phone could point gigli one worst reviewed films began wonder film particular ended everyone poop list even though plenty worse films people throwing good money boat trip bad boys masked anonymous answer became pretty obvious nothing expected entries gigli star power two talked celebrities tinseltown throw director martin brest incredible success scent woman midnight run beverley hills cop sprinkle veteran list power christopher walken pacino recipe rich ingredients suggest one expectations set higher standard gigli simply deliver goods dialogue laughable expect film midnight showings rocky horror picture show next ten years characters eccentrically hysterical help cringe seat embarrassment involved back critics owe apology year read reviews chastise opinions every consensus amongst peers keeps going mass spending hard earned dollars crap like million dollar domestic take gigli example power possess keep reading
703,weeks ago watched carrot top chairman board hbo worst movie ever seen worst movie ever ever could notorious scene john waters pink flamingos drag queen divine picks actual piece dog feces eats capraesque delight compared moment cotb carrot top leans kiss actress courtney thorne smith indeed thorne smith deserves honorary oscar vomiting small intestines second top fish underbelly skin came within taser range lips spent better part life happy lucky atheist endlessly circling epistemological cul sac foolishly content delusion naught unremarkable randomness caprice evolution govern planet lives write careworn grudging theist cursed metaphysical certainty god exists must indeed reckoning literal hell restore universe sense order return souls souls thirsting justice humanity cable subscribers everywhere least courtney thorne smith small measure peace indeed top crushingly unfunny film long jagged scar across collective unconscious hopes dreams replaced dying weeping child crushed bereft breath unconsoling inconsolable embrace blood stool eve wedding day unaccounted prosthetic eyeball swimming languidly vegetable pad thai happiness blotted forever cosmos carrot top worst human ever lived ever live stalin pogrom pol pot killing fields sweet songs seraphim heard within fragrant bosom lover compared dread offering hitler europe recovered marshall plan pain ruin chairman board survivors must endure sad remainder squalid lives laughs movie film steal laughs rest life represents debt repaid superman bizarro world far future galaxy run countless trillions nanorobots singularly programmed wipe away forever stain film film irretrievably etched thousands banshee screaming layers space time done done though every cell body may cry anguish every ribbon dna struggle mightily unslakeable urge rip asunder peace children children children satan put bluntly collective efforts millions preachers doctors philanthropists inventors kings queens philosophers humble servants god throughout history piffle dreck carrot top official web site www god typing someone please take yes melon baller fill raw moist sockets olten pig iron lest next thing see carrot tops shiny disgus ting head org index html carrot top offers glossies bucks apiece deep within pages legislation comprising usa patriot act provision abolishing civil liberties reproductive rights purchasers graven image execrable amalgam gein lampshade skin circus peanut colored horror one would happy donate every last dollop fat tallow belly buttocks thighs shanks grease skids fascism alas right screamingly unfunny slobber horrifying effect attractive blond actresses long recognized pillar democracy right enjoy watching sort thing similarly entrenched right watch dwarf tossing view pornography midgets peeing central theme stare noonday sun still though never met carrot top fan presumably according web site performs las vegas lot believe would prefer see siegfried roy show tigers break loose devour half audience better part lower torso fact carrot top came home town earlier year poor reporter local paper write feature story knowing writing anything carrot top completely savage akin one flacks assigned spin bhopal thing union carbide sympathize poor fellow much comes carrot top stupid commercials steaming pile offal chairman board either terrorist suffice say better dead red
704,honestly surprised alone dark bad could hardly believe seeing characters stereotypes wandering around getting killed extent character development giving character name occupation real plot none characters seemed motivation fact many action scenes began coming nowhere pounding techno track watching movie kept asking happening going acting high school drama quality stiff wooden delivery though actors reading cue cards without comprehending lines trouble delivering lines made even obvious horrible sound design adr sounded like recorded open room actors constantly taking obvious care hit marks looking almost robotic movements listless automatons whisked series implausible confusing scenarios often without even benefit transition scenes happening happening random scenes little rhyme reason lot fun watching definitely worth nine bucks though
705,watching movie stop talking mind sense someone stop talking great book show along line someone stop talking colonoscopy diner conversation words seeing help try remove stain left soul vomiting experience onto others movie entered tag line written two six writers scary movie forgot mention two wrote responsible writing credits jokes deleted sake causing mass suicide put delicately movie almost makes pootie tang look oscar worthy ironically enough made fun last scary movie horrid coincidence yeah even sort karma dealing fiend would wish movie upon world ask makes bad bet thinking funny stuff previews right actually funny content previews seemed way taken context movie much way hogan heroes funny people auschwitz holocaust previews funny seen movie actually see movie start ask funny preview answer see pretty flowers ignore fact growing corpse man died freak green house accident favor rent history channel documentary history documentaries hit head hammer twice funny make three times sense fifth painful
706,eleven years ago stanley ipkiss released true inner self became hero edge city finding wearing norse god mischief loki mask mask helped bring jim carrey forefront comedy reached popular status originality pure fun everyone knew spell party cuz gotta eleven years later seems philosophy applied new movie son mask someone asked director lawrence guterman making responds cuz gotta unfortunately answer cover seeing son mask still left theatre thinking good lord guterman rest people involved blasphemous film need realize response given making film simple answer debate whether party son mask begins otis dog finding infamous mask bringing back owner tim avery clear homage legendary loony toons creator tex avery tim played jamie kennedy struggling animator stuck working turtle tour guide animation company aspires one day draw night company halloween party tim puts mask transforms mischievous insane character expect party tim goes home mask still conceives child wife nine months later mayhem ensues baby born mask remarkable cartoonish powers otis dog jealous baby attention puts mask partakes tom jerry type mayhem baby meanwhile loki played alan cumming search mask orders father odin first ill admit respect fact film pays much homage classic cartoons tom jerry loony toons wile coyote type contraptions infamous dancing frog type plot however reverence cannot save film makes less respectful waste time premise movie becomes increasingly silly silly always bad thing movie silliness gets point plain annoying characters fun watch worse funny dullness characters also attributed fact much cgi used one greatest things original obviously computer animation used much relied jim carrey exuberant style jim carrey convinced actual cartoon jamie kennedy kind ability fact clear watch wear mask facial features rarely shift baby dog mostly completely animated became increasingly distracting throughout movie side story loki searching mask became stupefying son mask sad sad state affairs suggest rent buy original mask thank norse gods whoever bringing consider seeing sequel sacrifice continue ask infamous question son mask gets one star although star divvied classic creators loony toons jim carrey always book mask
707,everybody entire world would able create better movie saw movie comments site believe eyes drunk monkey would surely done better job writers actors movie watch movie amazed please beg actually dare say hey least never watch anything terrible people try avoid hitting head watching hard time
708,glitter might camp classic story dull downbeat yet another rewrite star born turned vehicle pop star mariah carey apparently patterned rise top audiences fooled however updated late night movie clich carey funky erotic music driving performance blazing new talent billie frank adequate script glitter seems left writers realize times changed billie diva doormat actresses lot higher caliber mariah carey fallen trap want see screen acting bitchy tough end playing simp glitter features rich cinematography nice shots big apple soft make impression even unintended comedy
709,watched first minutes inconcievable anyone could make film hopelessly endlessly mind meltingly bad bad movie war crime somehow producers actually managed cast supporting players bad enough make kelly clarkson even talent free justin guarini seem good comparsion alleged choreography ammounts nothing frantic flailing limbs accents come wild abandon songs put charitably forgettable surprised american idol judge randy jackson credited writer dialouge witless badly phrased worst thing humanity ever done
710,saw movie theaters opening night thought trailer made look funny sat right previews started thought seen trailer movie twice marketing besides know town went see movie large african american population thought would treat would movie audience would get behind enjoy together never six people theater time aside two friends trio black girls left minutes movie replaced guy two kids assume stepchildren hated taken see movie start jokes jokes mostly big boi saying something nothing special like daddy used golf faizon love loved big worm friday would repeat said higher voice add word editing made sense choppy dialouge vital plot would happening sentences would cut faizon love dancing something summarize buy movie walmart bin friend seen years invites birthday party something
711,disclaimer watched movie conditional agreement see films free caught dead giving hard earned money idiots well explain depth film could write shortest review ever see movie far stupidest lamest lazy unbelievably unfunny movie ever seen total disaster since hatred movie others like extends far beyond one viewing think bit know people movie besides carmen electra vanessa minnillo kim kardashian matter horrible though think point editing flat horrible possibly blatant continuity errors make crapfast even crappier thought would know films supposed serious come film making someone gets minor facial cut next shot someone gets cut sword blood least cut though since narnia films get away give disaster movie pass jokes thoughtless mindless physical gags obviously take popular movies last year late well including best picture nominees know saddest thing stupid movies care much money make many cameos sorry ass excuses films taking away jobs actors writers directors truly deserve attention lionsgate thought better taste ashamed making kind crap jason friedberg aaron seltzer burn hell guys contributing decline western civilization correction cause downfall western civilization
712,babies cool like babies movie bob clark genius creating movie superhuman babies get ideas superbabies baby geniuses would successful tommy wiseau directed little brother likes movie also likes babies like movie means hate babies wrong script movie inventive creative accurate representation baby conversation mention babies cool like comment subscribe love babies tomorrow exploring www legendsofequestria com love tommy wiseau
713,honestly worst movie ever made theatre full year old girls screaming heads sight could stand sitting entire time left early pay money even understand people agreed turn movie option anyone wants see movie pay money one worst films ever come across sure became movie sure could milk money current state popular kid get even money never say never bad
714,movie ordinary hollywood flick great deep message movie foundation kept built foundation hope message movie acting phenomenal tim robbins gave one greatest performances ever inspiring intelligent positive performance made smile robbins plays andy dufresne wrongfully convicted murdering wife lover gets life sentences yet never gives hope becomes friends ellis boyd red redding played morgan freeman freeman gives finest performance career unlike robbins lost hope deep regret crime committed way deflecting pain away trying feel anything friendship andy learns without hopes dreams nothing andy also becomes friends rest red group james whitmore also gave great performance brooks halten gets prison parole words red institutionalized directing frank darabont magnificent kept movie great steady pace along writing great cinematography portrayed prison life horrifying way terms physical pain stress pain wares mentally inmates deserve second chance whatever listen people say movie overrated one inspiring greatest movies ever everything could possibly want
715,masterpiece timeless masterpiece initially like film much found rather hyped boring advent dvd gave feature needed sort film subtitles switched heard read every last word brando ramblings characters ramblings grew true appreciation epic make true epic need three following ingredients working near perfect harmony screenwriters come across take following pointers board contrasting characters good films character distinction fall rather flat core character course exceptions rule want mono tonal characters aka matrix want outlandish contrasts aka fifth element ultimately makes films deep meaningful grand consider contrasts children michael rather cool rational collected whereas sonny hot headed spontaneous simple minded simply contrasts nearly enough really need develop characters place situations dwell character impacts situation put godfather terrific example pull many try screenplays lose plot create character obscurities stretch credibility transformation central character must undergo transformation resulting almost unrecognizable end film putting situations character character must influence outcome situation must also lasting impact character consider michael wedding compare michael see end film many films try fail come unreal literally praisingly simply moronic transformations wall street patience men black astounding film one simple reason entire film squashed minutes much longer episode buffy certainly hope new goal hollywood make films short possible great ones spend time time developing characters family life growth patience story telling general key provided story mind numbingly boring dances wolves heat patient top class films studios may lukewarm idea longer films worth ripper story base feel film dated much tremendous watch ability
716,godfather part finest sequel ever made arguably finer film original godfather film divided two main parts story young vito corleone flawlessly acted robert niro worthy oscar winner rise power michael head family francis coppola recollaborated many crew members first film achieves quite superb period piece thanks cinematography gordon willis set design dean tavoularis acting performances outstanding hence three supporting oscar nominations acting guru lee strasberg hyman roth michael gazzo frank pentangeli robert niro young vito corleone duvall keaton cazale shire provided first rate performances performance pacino steals show expertly portraying michael cool calculating suspicious corleone film expands upon original movie brings family activities nevada florida havana arguably finest movie cinematic masterpiece greatest ensemble acting probably see
717,gonna start saying love movie one favorites time honestly cant think much wrong movie little long batmans infamous voice everything else top notch acting story atmosphere actions scenes amazing seen movie see right went expecting much came blown away cant imagine movie much better wait dark knight rises release see anything better stands best movie ever seen
718,barbara list reasons schindler list annoyingly overpraised film time overlong spielberg self indulgent film pretty pathetic considering also made saving private ryan self consciously arty overabundance cheesy filmmaking gimmicks time could forever
719,movie watcher tend become bored constant overdone overdrawn underplayed overdramatized performance production quality hollywood films trait recent years sadly driven away big budget american films decent idea become mangled money making machine hollywood hoping pump raw cash drops dead street saw catastophre failure arose matrix franchise immense hype professed genius made failure poignant really wanted expected franchise said must say lord rings amazingly powerful visual experience even visual experience peter jackson crafted one finest written pieces era quintessential epic supplements brilliant storytelling jrr tolkien one awe inspiring collection films ever created hours film leads return king precursor though sit watch film plain brilliance everything film wonderful manner jackson arranged scenes detracting slightly original flow novel really helps keep suspense strong three story branches tolkien humor intact perfectly gallantry plain coolness heroes plain amazing check legolas big battle much words one gripe suppose never film made one cannot find point grip painfully long running time personally believe way film could made true source material completely engrossing found worried pain posterior emotional final minutes hours including ads previews spent cramped seat better least release dvd wait extended get see sauroman scenes cut film though amazing true lasting legacy story telling cinema bravo jackson
720,speak never seen anything stylish cleverly constructed well written electrifying milestone first saw really pulled right start come know tarantino trademark dialogue gangsters jules vincent talk characters matter natural flow sense realism yet something slightly top theatrical lines mixture immediately grabs attention even two dudes talking kind hamburger prefer contemplating value foot massage music songs tarantino chose masterpiece fit respective scenes perfectly pieces music immediately associated pulp fiction narrative different story lines come together elegantly used flashbacks use chapters much playful creativity play pure joy watch bit film geek realize much knowledge film love work greats inspiration went leone depalma scorsese course dozens hyper stylized asian gangster flicks accusing tarantino copying even stealing film makers say never artist adored kind art inspired influenced favorite artists watch tarantino masterpiece today impossible recognize breath fresh air still actually somehow movies especially gangster films never looked quite pulp fiction probably influential film last years got simply everything amazing performances especially sam jackson features sizzling iconic dialogue ever written arguably one best non original soundtracks ever crazy cool inspirational ride feel dizzy watching first time well pulp fiction stars favorite films http www imdb com list mkjokvqlsbs lesser known masterpieces http www imdb com list favorite shows reviewed http www imdb com list
721,good bad ugly good better best prefer calling bizarrely sublime uniquely aesthetic masterpiece actors title roles given extraordinarily superb performances would impertinent disparaging merely regard swell work acting fact brilliant portrayals immortalized blondie sentenza angel eyes enigmatic tuco lee van cleef fiendishly unforgiving merciless angel eyes clint eastwood rugged yet suave cocky yet adorable laconic cigar smoker blondie role laid foundations illustrious career eli wallach steals show captivating portrayal tuco portrayal entrancing enlightening wallach amusing capricious nonchalant uncanny yet tenacious tuco perturbed insecurities dampened solitude tacit amicability blondie tuco mutual hostility towards evil angel eyes owing vestiges virtue present redolent moribund morality gives story impetus characters screen presence awe inspiring also unparalleled sergio leone magnificent ingenious direction synergy ennio morricone surreal music tonino delli colli breathtaking cinematography joe augustine punctilious editing makes movie treat watch ineffably unforgettable initially aimed tongue cheek satire run mill westerns good bad ugly continues stand test time endeavor attain apotheosis attained yet always remembered european cinema greatest lagniappe western genre world cinema must watch movie lover
722,unfortunately one faithful chuck palahniuk readers read book saw movie however wait read book seeing film read book times since seen movie times remember simply put movie changed life personal level comment except say major palahniuk fan also movie watcher view movies differently seeing movie broke doors movie literally first time ever came upon something first sight seemed incredibly stylish sophisticated entertaining plot lured turning upside acting nothing short perfect ever memorable character brad pitt tyler durden music screenplay based time favorite book lighting pacing everything virtually everything movie took surprise save one man david fincher director probably reason went see movie first place work seven game excited see would next came movie expecting stylish flick offered good plot hopefully good acting got much much honestly many times seen movie every viewing gets even complicated yet simple help laugh every time watch movie notice something new depth screen tiny issue story fight club penned chuck palahniuk one fertile imaginations around believe read survivor weep story nothing short incredible pure shock value social commentary state world end century cry laugh clich importantly identify every single thing screen movie rates one time favorite movies simply put seen yet quit wasting time online get nearest videostore
723,inception written produced directed christopher nolan film stars leonardo dicaprio ken watanabe joseph gordon levitt marion cotillard ellen page tom hardy cillian murphy dileep rao tom berenger michael caine musical score hans zimmer wally pfister cinematographer plot finds dicaprio playing dom cobb specialised spy hire steals ideas dreams people one day gets different offer one enable see estranged children get reward must enact inception planting idea mind selected target inception thought impossible cobb selected team fail consequences unthinkable already much written pondered regards inception relatively short running time life one imagine written said ten years time although arguably bit early talking held high regards likes space odyssey inescapable nolan movie current generation sci classic nolan managed make accessible mainstream dazzled eyes much brain process close piece genius craftsmanship inception film better know nothing venturing asks well nolan asks undivided attention neither confusing painted tricks peek behind curtain type sleeve truth inception something everyone thematically speaking pore special effects sees nolan raising bar considerably case twisty high concept movies interpretations many director rightly abstaining discourse movie forms basis basic life death struggles grey areas given clever cinematic make also meditations grief reviewer personally found easy get involved course wont work everyone one many strands nolan dangles discerning viewer sounds bit serious man redefined super hero genre rest assured thrill seekers inception also loud swirly spectacle action raucous gun fights zero gravity punch ups nolan lost ability take viewer action fuelled roller coaster ride aided superbly lee smith editing pfister perfectly broad photography zimmer score blends electronic action pulse beats saddened guitar strains smiths guitarist johnny marr string craft one best scores said something everyone making perhaps one leading nominees title ultimate modern day blockbuster strong ensemble cast led quite scintillating performance dicaprio following cards played close chest turn shutter island dicaprio given two best lead performances gives real depth emotion kind makes easy viewers hang hats unfussy acting easy buy giving character air believability glue binds whole film together murphy wonderfully vulnerable much axis narrative levitt almost usurps dicaprio neatly layered portrayal carries delightful whiff duality special praise ellen page still early exudes intelligent sexiness shines bright role could boorishly played cipher lesser actress hands hardy provides brawny levity berenger leaves favourable mark matrix meets heat mission impossible written phillip dick richard matheson something like cracking hybrid movie fit grace summer sure improve enlighten viewings
724,rebellion struck important blow power empire destroying death star however power dark side force remains strong continues hunt rebellion rebellion base hoth treat luke gone distant swamp planet receive jedi training master yoda however power dark side underestimated many dark truths revealed threat empire looms large following star wars never going easy actually better empire retains characters sense fun first battle hoth one moments series however gets added much darker strand empire beaten destruction one ship power barely dented fact sees startling revelations spoil case living rock also sees significant blows rebellion fact ending film could different end star wars like recent episode two follows two strands pedestrian scenes luke yoda action based scenes han company scenes yoda add depth film hint truth meanwhile half lot action orientated comedy good new characters bobba fett two work well together come together well great finale addition dark strand film makes better enjoyed story fun sci film good effects characters better first strong characters first han still good however also get much interesting version luke continues journey becoming full jedi yoda good addition despite sounding like fozzie bear darth vader becomes lot good villain learn past revelation thing common knowledge overall good star wars heart darker nature film makes much better first one victorious uprising title suggests time history empire strikes back uprising music characters things make star wars star wars simply one best series date
725,breathtaking unique captivating enchanting within minutes start first chapter undeniably epic trilogy audience left gasping intensity images screen nearly three hours scope tolkien masterpiece may eluded film makers decades director peter jackson makes good promise brought tale frodo bold companions brought middle earth believe big sweeping vistas hang onto seat camera shots send zooming towering cities citadels tolkien imagination even impressive stunning visuals sound effects like never heard actors breathe life characters ian mckellen portrayal gandalf nothing short awe inspiring elijah wood frodo one unexpectedly captivating performances seen long time despair terror determination fellowship spades left theater aching tensing every muscle fight flight sequences breathless compelling kind seen since spielberg gave desperate charge onto day beaches normandy unfamiliar tolkien world may quickly find lost happily depth creation cannot grasped hours need struggle good evil explodes screen leaves little room complaint movie ended stunned audience sitting edges seats feeling somewhat bereft exhausted one wanted wait year jackson ambitious first chapter truly unlike anything seen year george lucas chris columbus take note deliver cinematic promise everyone else dare miss
726,quite simply greatest film ever made humour sadness action drama vietnam film rolled one stone cold heartless villain takes lot make cry watch movie bambi mother care less jimmy stewart wonderful life yeah right lion king mufasa bites big one verge seriously bawled big brown eyes several occasions film real tear jerker wonderful character played perfection tom hanks every bit worthy oscar rooney win premiership cannot say enough film time watch see
727,unlucky born socially economically racially isolated community poverty crime drugs violence everyday realities odds stacked incredibly high literally takes much effort strength struggle plain good fortune simply avoid becoming gangster let alone anything life find situation described never even enter fight rare ones succeed city god depicts conundrum masterfully rio slum called cidade deus meet character character right idea knowledge courage get somehow always ends pulled right back vicious circle becoming hoodlum cidade deus fringe career option disenchanted rebels social outcasts main industry images gun toting pre teen killers disturbing meirelles uses relentlessly underscore hopeless frighteningly predetermined life kids many read write already know use gun kill without remorse particularly harrowing scene local drug lord pequeno lil leandro firmino hora exacts revenge disobedient gang year olds incapacitating two forcing one kid soldiers initiation sorts choose one two wants kill faced death one kids starts crying crocodile tears suddenly bravado gone shown truly desperately misdirected infant people options sentiment reinforced every gruesome event course lifestyle comes little naturally others pequeno example early age known dadinho lil dice shows considerable lack aversion blood death another aptly choreographed scene know exactly happened much later holds alongside much older gangsters motel stickup also hand colourful palette characters narrator buscape rocket alexandre rodrigues whose ticket slum love photography people like laidback bene benny philippe haagensen followed fierce rival cenoura carrot matheus nachtergaele good guy turned bad although simple mane galinha knockout ned seu jorge see multidimensional pulsating alive community seems need strong sustained outside push finally stop chasing tail get destructive cycle
728,based amazing novel ken kesey randall patrick mcmurphy antisocial dangerous man different petty criminal placed mental ward behavior studied makes friends lunatics starts circle admiration within hospital much dismay nurse ratched central authority figure story one greatest movie villains ever movie exists show corrupt poorly constructed society approach mentally unstable creates characters met life shows mcmurphy like figure wish fights freedom choice basic human rights addition movie great spirit acting fantastic jack nicholson best danny devito seen first acting role absolutely triumphs course unforgettable chief bromden directing milos forman well done camera work excellent follows pace movie perfectly used really impressed editing especially far use audio goes parts made wow complaint believe movie could slightly effective based closely novel certain points modified point view film make great point anyone ever hated job accused something person self righteous convinced authority dependency order get way attended american public school system point life able identify movie
729,one word could use describe martin scorsese goodfellas priceless surreal deeply fascinating take life henry hill involved mob three decades rise throughout time span nicholas pileggi book wiseguy single moment movie miss beat could tell atmosphere time period seems real performances film simply make even memorable characters portrayed especially ray liotta robert niro joe pesci oscar best supporting actor paul sorvino believable easy understand family close tightly knit core also director martin scorsese lets movie pace keeps viewer guard happens deserves lot credit
730,without doubt one best influential movies time matrix defining science fiction film biggest leap genre taken since stanley kubrick space odyssey ridley scott blade runner matrix groundbreaking motion picture raised bar science fiction films come also redefined action genre thrilling action sequences revolutionary visual effects film tells story thomas anderson computer hacker world hacking goes alias neo contacted mysterious outlaw morpheus always questioned reality awakened truth world living simulated reality called matrix nothing slave dystopian world created controlled powered machines direction script wachowskis fantastic drew ideas inspirations every great sci cyberpunk movie anime film combining stunning action putting one picture enough style substance subtext everyone ended giving interpretation story research went preparation screenplay quite extensive manner presented big screen also impressive every character presented film well defined arc purpose motivations clear cinematography impeccable innovative use camera angles movements zooms slow motion captures different color palette used differentiate matrix real world editing flawless makes sure every scene integral story ensures pace film stays ferocious entire runtime frame also packed much visual information viewer devour visual effects pioneered bullet time effect impact still felt today movies performances also incredible member cast gave best performances brought characters portray life one stands hugo weaving agent smith undoubtedly greatest performance career conclusion matrix masterpiece everyone see one thought provoking innovative inventive pioneering influential stylish movies time also full philosophical religious allegories immortal contribution cinema pop culture brilliant combination inventive visual effects excellent vision exquisite action easily makes one best influential entertaining movies ever made
